TOOL_NUMBER,PART_NUMBER,SUPPLIER,DESCRIPTION,BRAND,ONHAND,PURCHASE_DATE,LOCATION,OEM,KEYWORDS,HIRED_OUT
?,?,?,Universial Transmission Dipstick,?,1,?,A6,,,FALSE
?,?,?,Ear stethoscope,?,1,?,A6,,doctors listening noises noise listen hearing ,FALSE
T1,B1021,T&E Tools,VANOS Camshaft Locking Plates,T&E Tools,1,?,C3,303-1017 / 116451 / 116450 / 116452 / 303 1017 / 3031017 / 116 451 / 116 450 / 116 452 DM11-B1021,M62 m60 4.4L,TRUE
T10,ETN62N73,All Euro,BMW Timing Kit,Endeavour,1,?,D2,,N62 | N73 3.6L | 4.0L | 4.4L | 4.8L V8 engine V12,FALSE
T11,CP101825,?,Engine Timing Tool,?,1,?,C2,,M40 M42 M50 M60 M62 M70 M62TU v8 bmw,FALSE
T12,HCB-H1188,All Euro,Valve Spring Pliers,HCB,1,?,A5,114270,N20/N51/N52/N52K/N52T/N55 bmw remover installer install compressor INTERMEDIATE VALVETRONIC LEVER TOOL et1188h,FALSE
T120,JTC-4915,All Euro,BMW Mini Timing Tool,JTC,1,?,B5,,n12 n14  BMW MINI COOPER 1.4 1.6 16V,TRUE
T121,JTC-4281,All Euro,TIMING TOOL SET FOR BMW (N13 N18),JTC,1,?,C3,117440 / 119340/ 496709/ 119590,BMW N13 N18 engine dismantle and assemble intake and exhaust ,FALSE
T122,304703,Repco,Toledo Timing Tool Kit - MINI ,TOLEDO,1,?,C4,,w10 w11 r50 r53,FALSE
T123,AST5020,T&E Tools,Engine Timing Tool Set,AST,1,?,B4,,n12 n14 n16 r55 r60 r58 r56 r57 r61 r59,FALSE
T13,H.C.B-A1605,All Euro,Fuel Injector Removal/Installer,HCB,1,?,D4,,N20/N47/N54/N55/N57/N63 bmw engine,FALSE
T14,H.C.B-B1294,All Euro,Ball Joint Puller,HCB,1,?,D5,,BMW BALL JOINT PULLER (24 mm &27mm & 31 mm & 36mm) splitter split Cone splitting tool with four forks,FALSE
T142,?,All Euro,Pneumatic Air Portable Pressure Brake,?,1,?,Oil Room,,fluid Clutch Bleeder Bleeding Kit Adaptors,FALSE
T15,H.C.B-C1421,All Euro,DIESEL ENGINE TIMING TOOL,HCB,1,?,D4,,BMW (2.0 N47/ 3.0 N57),FALSE
T150,FUELGAUGE,Repco,Fuel Gauge Assortments,?,1,?,C2,,FUEL,FALSE
T151,H.C.B-A2150,Repco,Coolant Pressure Tester,HCB,3,?,D1,3 BOXES,UNIVERSAL RADIATOR PRESSURE TESTER KIT cooling system,FALSE
T152,JTC-4647,Repco,Camshaft pulley Puller,JTC,1,?,C3,,Camshaft puller pulley wheel audi vw,FALSE
T153,JTC-4776,All Euro,FLOW METER COMMON RAIL SET,JTC,1,?,E4,,Common Rail diesel injector bleed off tester test uni,FALSE
T154,301939,Repco,Toledo Snap Ring Plier Set,TOLEDO,1,?,C5,,OTHER clamp circlip,FALSE
T155,RRT1061G,Repco,Oil Drain Repair Set,Repco,1,?,D5,,ENGINE universial bmw mini audi vw skoda mercedes alloy sump,FALSE
T156,?,Sulco,Clyinder Leakage Tester,T&E Tools,1,?,C3,,Leak compression engine,FALSE
T157,4115,Sulco,Spring Compressor Tool - Universal,T&E Tools,1,?,C1,,ENGINE remove and install valve springs with the cylinder head,FALSE
T158,7204,Sulco,Brake Pipe Double Flaring Tool ,T&E Tools,1,?,B4,,BRAKES,FALSE
T159,?,Repco,Wheel Bearing Puller,?,1,?,C2,,WHEELS,FALSE
T16,HCB-A1331,All Euro,Pulley Holder Tool,HCB,1,?,A4,,engine M60 / M62 V8 HOLD CRANKSHAFT AND REMOVE CENTRAL BOLT,FALSE
T160,H.C.B-A1038,All Euro,Assorted Puller Tools,HCB,1,?,E3,,BMW (E30/E36/E46) BUSH EXTRACTOR/ INSTALLER,FALSE
T161,?,?,Oil Pressure Tester,?,1,?,E5,,gauge,FALSE
T163,RTT3500-46A,Repco,Radio Removal Tool Kit,Repco,1,?,B5,,OTHER vw audi bmw skoda mercedes ,FALSE
T164,SFT001,Repco,Belt Fitting Tool,Gates,1,?,B3,,ENGINE Stretch Fit Belt pulley BMW,FALSE
T165,ITC45,?,Laser Heat Gun,RayTek,1,?,B3,,?,FALSE
T167,?,?,Random Puller Asortments,?,1,?,E3,,,FALSE
T168,95-0003C,Repco,Smoke Tester Attachments,Smoke Pro,1,?,A6,,OTHER,FALSE
T169,9596,Repco,Hole Saw Kit,Journeyman's,1,?,B1,,OTHER,FALSE
T17,H.C.B-B1262,All Euro,Engine Timing Tool Set,HCB,1,?,E5,,BMW (M41/M51/M47TU/M47T2/M57TU/M57T2) DIESEL TIMING TOOL SET,FALSE
T170,7059,Sulco,Mightyvac Vacuum tester,T&E Tools,1,?,E4,,vac gauge,FALSE
T171,?,?,Lock nut set - Misc,?,1,?,B1,,WHEELS,FALSE
T172,?,?,Lock nut set - BMW,?,1,?,B1,,WHEELS,FALSE
T173,?,?,Lock nut set - Misc,?,1,?,B1,,WHEELS,FALSE
T174,?,?,Lock nut set - Misc,?,1,?,B1,,WHEELS,FALSE
T175,?,?,Lock nut set - Misc,?,1,?,B1,,WHEELS,FALSE
T177,?,Repco,Brake Piston Push Back Tool,Pro-Max,1,?,E4,,BRAKES,FALSE
T179,ET1201,All Euro,Injector Pump / Shaft Cleaning Set,Endeavour,1,?,D5,VAS6811,ENGINE Removes carbon deposits which is important when replacing injectors fuel injector shaft  injector pump cleaning,FALSE
T18,H.C.B-I1188,All Euro,Engine Timing Tool Set,HCB,1,?,D3,,BMW (N51/N52/N52K/N53/N54/N55) TIMING TOOLS,FALSE
T180,98804,Sulco,"3/4"" T70 T80 T90 T100 Torx-r Impact Sockets",T&E Tools,1,?,B4,,OTHER T70 T80 T90 T100 Torx-r Impact Sockets,FALSE
T181,ET6498,All Euro,Strut Nut Remover Tool,Endeavour,1,?,B1,,SUSPENSION vw mercedes strut groove ,FALSE
T182,CL337,T&E Tools,Piston Ring Service Set 9pc,T&E Tools,1,?,E5,,ENGINE piston ring compressor groove cleaner expander,FALSE
T183,OILFILTERTOOL,Repco,Oil Filter Cap Removal Tools,Repco,1,?,E5,,ENGINE,FALSE
T184,FD-404M,Repco,Metric Stud Extraction Tool,Repco,1,?,B3,,OTHER  Puller undo remover,FALSE
T185,?,Bunnings,Dremal,Ozito,1,?,D4,,OTHER cuting cut grind grinding,FALSE
T186,6266,Sulco,Cam Locking Tool - Universal,T&E Tools,1,?,B1,,ENGINE timing camshaft,FALSE
T187,DWE4151-XE,Bunnings,Grinder - Cable Type,DeWalt,1,?,A2,,lead shield yellow,FALSE
T188,WFB-1600,?,Air Powered Body Saw,Repco,1,?,B3,,OTHER,FALSE
T189,?,?,Slide Hammer - Old Blue,T&E Tools,1,?,A2,,OTHER,FALSE
T19,H.C.B-B1568,All Euro,Rear Diff Bush Removal/Installer,HCB,1,?,D3,,BMW (F01/F02/F04/F06/F07/F10-F13/F18)DIFFERENTIAL REAR BUSH REMOVAL / INSTALLATION TOOL KIT,FALSE
T190,Homemade,Repco,Trailer Light Boad,Navra,1,?,A1,,TRAILER led,FALSE
T191,MPCPTHG,Repco,Heat Gun 2000w,Mech Pro,1,?,A2,,OTHER hot hair dryer ,FALSE
T192,?,?,Brake Pressure Tester Atachments,?,1,?,D3,,adapter adapters ,FALSE
T193,?,Napa,Timing Light,OPTILUX,1,?,A3,,ENGINE,FALSE
T194,55800,All Euro,A/C Gas Leak Detector,MASTERCOOL,1,?,B5,,AIRCON ac ,FALSE
